item_cd,store_cdード,商品名,日付,発注GP,販売数,部門コード,部門名
4957180090030,861,GV-USB2/HQ,2018-08-30,ＤＯＳ／Ｖパーツ,1,364050,ＴＶ・ビデオキャプチャボード
4957180090030,861,GV-USB2/HQ,2018-08-31,ＤＯＳ／Ｖパーツ,0,364050,ＴＶ・ビデオキャプチャボード
4562412834667,861,HDMI-VGA変換ｹｰﾌﾞﾙ AMC-HDVGAB,2018-08-30,ＤＯＳ／Ｖパーツ,4,368070,ケーブル・コネクタ
4562412834667,861,HDMI-VGA変換ｹｰﾌﾞﾙ AMC-HDVGAB,2018-08-31,ＤＯＳ／Ｖパーツ,0,368070,ケーブル・コネクタ
4937925914937,861,SATR3103BK ﾗｯﾁ付 ｼﾘｱﾙATAﾗｳﾝﾄﾞｹｰﾌﾞﾙ,2018-08-30,ＤＯＳ／Ｖパーツ,2,368070,ケーブル・コネクタ
4937925914937,861,SATR3103BK ﾗｯﾁ付 ｼﾘｱﾙATAﾗｳﾝﾄﾞｹｰﾌﾞﾙ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368070,ケーブル・コネクタ
4937925914968,861,SATR3102LBK ﾗｯﾁ付 ｼﾘｱﾙATAﾗｳﾝﾄﾞｹｰﾌﾞﾙ 片下L型ｺﾈｸﾀ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368070,ケーブル・コネクタ
4937925914968,861,SATR3102LBK ﾗｯﾁ付 ｼﾘｱﾙATAﾗｳﾝﾄﾞｹｰﾌﾞﾙ 片下L型ｺﾈｸﾀ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368070,ケーブル・コネクタ
0889349973998,861,Intel H370 ATX MB TUF H370-PRO GAMING (WI-FI),2018-08-30,ＤＯＳ／Ｖパーツ,1,363160,ゲーミングマザーボード
0889349973998,861,Intel H370 ATX MB TUF H370-PRO GAMING (WI-FI),2018-08-31,ＤＯＳ／Ｖパーツ,0,363160,ゲーミングマザーボード
4988755013581,861,SATA3-PCIE-I2,2018-08-30,ＤＯＳ／Ｖパーツ,1,368084,その他インターフェイス
4988755013581,861,SATA3-PCIE-I2,2018-08-31,ＤＯＳ／Ｖパーツ,0,368084,その他インターフェイス
4988755233613,861,SATA3I2-PCIe,2018-08-30,ＤＯＳ／Ｖパーツ,1,368084,その他インターフェイス
4988755233613,861,SATA3I2-PCIe,2018-08-31,ＤＯＳ／Ｖパーツ,0,368084,その他インターフェイス
4942322207728,861,OWL-BRKT04B,2018-08-30,ＤＯＳ／Ｖパーツ,6,368099,その他パーツ関連
4942322207728,861,OWL-BRKT04B,2018-08-31,ＤＯＳ／Ｖパーツ,0,368099,その他パーツ関連
4969887861011,861,SATA-USB3.0変換ｹｰﾌﾞﾙ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368099,その他パーツ関連
4969887861011,861,SATA-USB3.0変換ｹｰﾌﾞﾙ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368099,その他パーツ関連
4988755004213,861,KURO-DACHI/CLONE/U3,2018-08-30,ＤＯＳ／Ｖパーツ,1,368081,ディスクコントローラ（バルク）
4988755004213,861,KURO-DACHI/CLONE/U3,2018-08-31,ＤＯＳ／Ｖパーツ,0,368081,ディスクコントローラ（バルク）
4539002200515,861,BDR-209BK2,2018-08-30,ＤＯＳ／Ｖパーツ,1,343130,ブルーレイディスクドライブ（バルク）
4539002200515,861,BDR-209BK2,2018-08-31,ＤＯＳ／Ｖパーツ,0,343130,ブルーレイディスクドライブ（バルク）
4526542716101,861,MSI Z370 GAMING PLUS,2018-08-30,ＤＯＳ／Ｖパーツ,1,364010,マザーボード
4526542716101,861,MSI Z370 GAMING PLUS,2018-08-31,ＤＯＳ／Ｖパーツ,0,364010,マザーボード
4717677335170,861,Intel H310搭載 Micro-ATX M／B H310M-HDV／M.2,2018-08-30,ＤＯＳ／Ｖパーツ,1,364010,マザーボード
4717677335170,861,Intel H310搭載 Micro-ATX M／B H310M-HDV／M.2,2018-08-31,ＤＯＳ／Ｖパーツ,0,364010,マザーボード
0843591069618,861,CMK16GX4M2A2666C16,2018-08-30,ＤＯＳ／Ｖパーツ,2,365015,メモリ（バルク）
0843591069618,861,CMK16GX4M2A2666C16,2018-08-31,ＤＯＳ／Ｖパーツ,0,365015,メモリ（バルク）
4549032011760,861,裸族のお立ち台 3bay Independent Switch,2018-08-30,ＤＯＳ／Ｖパーツ,1,368062,多段層ＨＤＤケース
4549032011760,861,裸族のお立ち台 3bay Independent Switch,2018-08-31,ＤＯＳ／Ｖパーツ,0,368062,多段層ＨＤＤケース
4549032013078,861,裸族のお立ち台TWIN,2018-08-30,ＤＯＳ／Ｖパーツ,1,368062,多段層ＨＤＤケース
4549032013078,861,裸族のお立ち台TWIN,2018-08-31,ＤＯＳ／Ｖパーツ,0,368062,多段層ＨＤＤケース
4717964397713,861,TR2 600W V2 -Bronze-,2018-08-30,ＤＯＳ／Ｖパーツ,1,368055,電源（パワーサプライ）
4717964397713,861,TR2 600W V2 -Bronze-,2018-08-31,ＤＯＳ／Ｖパーツ,0,368055,電源（パワーサプライ）
4562412833028,861,GS-08,2018-08-30,ＤＯＳ／Ｖパーツ,1,368072,冷却装置
4562412833028,861,GS-08,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
4571225043364,861,GELID Silent12 PWM 120mm,2018-08-30,ＤＯＳ／Ｖパーツ,1,368072,冷却装置
4571225043364,861,GELID Silent12 PWM 120mm,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
4571225056081,861,IZUNA 飯綱,2018-08-30,ＤＯＳ／Ｖパーツ,1,368072,冷却装置
4571225056081,861,IZUNA 飯綱,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
4571225056418,861,KOTETSU MARKⅡ 虎徹弐,2018-08-30,ＤＯＳ／Ｖパーツ,7,368072,冷却装置
4571225056418,861,KOTETSU MARKⅡ 虎徹弐,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
4937925909698,861,AS-05,2018-08-30,ＤＯＳ／Ｖパーツ,1,368072,冷却装置
4937925909698,861,AS-05,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
