ì˙ït,store_cd,item_cd,ëçç›å…ó ,îÃîÑâ¬î\ç›å…,à⁄ëóíÜ,î≠íçéc
2018-05-10,861,4514953727427,74,74,0,0
2018-05-11,861,4514953727427,73,73,0,0
2018-05-12,861,4514953727427,72,72,0,0
2018-05-13,861,4514953727427,70,70,0,0
2018-05-14,861,4514953727427,5,5,0,0
2018-05-15,861,4514953727427,78,5,0,73
2018-05-16,861,4514953727427,88,79,0,9
2018-05-17,861,4514953727427,86,86,0,0
2018-05-18,861,4514953727427,85,85,0,0
2018-05-19,861,4514953727427,84,84,0,0
2018-05-20,861,4514953727427,83,83,0,0
2018-05-21,861,4514953727427,18,18,0,0
2018-05-22,861,4514953727427,86,18,0,68
2018-05-23,861,4514953727427,88,83,0,5
2018-05-24,861,4514953727427,88,88,0,0
2018-05-25,861,4514953727427,88,88,0,0
2018-05-26,861,4514953727427,88,88,0,0
2018-05-27,861,4514953727427,88,88,0,0
2018-05-28,861,4514953727427,91,88,0,3
2018-05-29,861,4514953727427,91,91,0,0
2018-05-30,861,4514953727427,90,90,0,0
2018-05-31,861,4514953727427,91,91,0,0
2018-06-01,861,4514953727427,34,34,0,0
2018-06-02,861,4514953727427,73,32,0,41
2018-06-03,861,4514953727427,72,72,0,0
2018-06-04,861,4514953727427,67,67,0,0
2018-06-05,861,4514953727427,6,6,0,0
2018-06-06,861,4514953727427,86,6,0,80
2018-06-07,861,4514953727427,21,21,0,0
2018-06-08,861,4514953727427,86,20,0,66
2018-06-09,861,4514953727427,144,144,0,0
2018-06-10,861,4514953727427,142,142,0,0
2018-06-11,861,4514953727427,123,123,0,0
2018-06-12,861,4514953727427,119,119,0,0
2018-06-13,861,4514953727427,117,117,0,0
2018-06-14,861,4514953727427,117,117,0,0
2018-06-15,861,4514953727427,117,117,0,0
2018-06-16,861,4514953727427,114,114,0,0
2018-06-17,861,4514953727427,112,112,0,0
2018-06-18,861,4514953727427,108,106,2,0
2018-06-19,861,4514953727427,106,104,2,0
2018-06-20,861,4514953727427,102,100,2,0
2018-06-21,861,4514953727427,102,100,2,0
2018-06-22,861,4514953727427,102,100,2,0
2018-06-23,861,4514953727427,99,97,2,0
2018-06-24,861,4514953727427,99,97,2,0
2018-06-25,861,4514953727427,98,96,2,0
2018-06-26,861,4514953727427,98,96,2,0
2018-06-27,861,4514953727427,98,96,2,0
2018-06-28,861,4514953727427,98,96,2,0
2018-06-29,861,4514953727427,97,95,2,0
2018-06-30,861,4514953727427,95,93,2,0
2018-07-01,861,4514953727427,95,93,2,0
2018-07-02,861,4514953727427,95,93,2,0
2018-07-03,861,4514953727427,93,91,2,0
2018-07-04,861,4514953727427,87,85,2,0
2018-07-05,861,4514953727427,87,85,2,0
2018-07-06,861,4514953727427,86,84,2,0
2018-07-07,861,4514953727427,85,83,2,0
2018-07-08,861,4514953727427,85,83,2,0
2018-07-09,861,4514953727427,84,84,0,0
2018-07-10,861,4514953727427,81,81,0,0
2018-07-11,861,4514953727427,0,0,0,0
2018-07-12,861,4514953727427,52,0,0,52
2018-07-13,861,4514953727427,51,25,0,26
2018-07-14,861,4514953727427,52,52,0,0
2018-07-15,861,4514953727427,52,52,0,0
2018-07-16,861,4514953727427,52,52,0,0
2018-07-17,861,4514953727427,0,0,0,0
2018-07-18,861,4514953727427,60,49,0,11
2018-07-19,861,4514953727427,60,60,0,0
2018-07-20,861,4514953727427,53,53,0,0
2018-07-21,861,4514953727427,52,52,0,0
2018-07-22,861,4514953727427,165,52,0,113
2018-07-23,861,4514953727427,165,52,0,113
2018-07-24,861,4514953727427,163,163,0,0
2018-07-25,861,4514953727427,160,160,0,0
2018-07-26,861,4514953727427,59,59,0,0
2018-07-27,861,4514953727427,100,56,0,44
2018-07-28,861,4514953727427,95,95,0,0
2018-07-29,861,4514953727427,90,90,0,0
2018-07-30,861,4514953727427,88,88,0,0
2018-07-31,861,4514953727427,87,87,0,0
2018-04-01,861,4548736011564,18,18,0,0
2018-04-02,861,4548736011564,37,17,0,20
2018-04-03,861,4548736011564,35,15,0,20
2018-04-04,861,4548736011564,32,12,0,20
2018-04-05,861,4548736011564,41,1,0,40
2018-04-06,861,4548736011564,41,1,0,40
2018-04-07,861,4548736011564,41,1,0,40
2018-04-08,861,4548736011564,41,1,0,40
2018-04-09,861,4548736011564,41,1,0,40
2018-04-10,861,4548736011564,40,0,0,40
2018-04-11,861,4548736011564,40,0,0,40
